Country,Year,HIV/AIDS
United States Virgin Islands,1990,8
United States Virgin Islands,1991,9
United States Virgin Islands,1992,10
United States Virgin Islands,1993,11
United States Virgin Islands,1994,14
United States Virgin Islands,1995,13
United States Virgin Islands,1996,14
United States Virgin Islands,1997,12
United States Virgin Islands,1998,11
United States Virgin Islands,1999,13
United States Virgin Islands,2000,15
United States Virgin Islands,2001,15
United States Virgin Islands,2002,15
United States Virgin Islands,2003,14
United States Virgin Islands,2004,13
United States Virgin Islands,2005,12
United States Virgin Islands,2006,11
United States Virgin Islands,2007,10
United States Virgin Islands,2008,10
United States Virgin Islands,2009,10
United States Virgin Islands,2010,10
United States Virgin Islands,2011,9
United States Virgin Islands,2012,9
United States Virgin Islands,2013,9
United States Virgin Islands,2014,10
United States Virgin Islands,2015,12
United States Virgin Islands,2016,9
United States Virgin Islands,2017,9
United States Virgin Islands,2018,8
United States Virgin Islands,2019,8
