Country,Year,HIV/AIDS
Vietnam,2007,7901
Vietnam,2008,7451
Vietnam,2009,6728
Vietnam,2011,7583
Vietnam,2014,7333
Vietnam,2015,7271
Vietnam,2016,7049
Vietnam,1990,286
Vietnam,1991,450
Vietnam,1992,656
Vietnam,1993,896
Vietnam,1994,1162
Vietnam,1995,1458
Vietnam,1996,1787
Vietnam,1997,2172
Vietnam,1998,2627
Vietnam,1999,3157
Vietnam,2000,3767
Vietnam,2001,4432
Vietnam,2002,5147
Vietnam,2003,5900
Vietnam,2004,6657
Vietnam,2005,7382
Vietnam,2006,7891
Vietnam,2010,6848
Vietnam,2012,7686
Vietnam,2013,7502
Vietnam,2017,6761
Vietnam,2018,6499
Vietnam,2019,6399
