Country,Year,HIV/AIDS
Zimbabwe,1990,11997
Zimbabwe,1991,18368
Zimbabwe,1992,26535
Zimbabwe,1993,36266
Zimbabwe,1994,46974
Zimbabwe,1995,58072
Zimbabwe,1996,68821
Zimbabwe,1997,78903
Zimbabwe,1998,88131
Zimbabwe,1999,95833
Zimbabwe,2000,101864
Zimbabwe,2001,105950
Zimbabwe,2002,108432
Zimbabwe,2003,109389
Zimbabwe,2004,108079
Zimbabwe,2005,104293
Zimbabwe,2006,98236
Zimbabwe,2007,89962
Zimbabwe,2008,80466
Zimbabwe,2009,69602
Zimbabwe,2010,57069
Zimbabwe,2011,45789
Zimbabwe,2012,38354
Zimbabwe,2013,33646
Zimbabwe,2014,31034
Zimbabwe,2015,29162
Zimbabwe,2016,27141
Zimbabwe,2017,24846
Zimbabwe,2018,22106
Zimbabwe,2019,20722
