Country,Year,HIV/AIDS
Antigua and Barbuda,1990,7
Antigua and Barbuda,1991,5
Antigua and Barbuda,1992,6
Antigua and Barbuda,1993,7
Antigua and Barbuda,1994,9
Antigua and Barbuda,1995,9
Antigua and Barbuda,1996,10
Antigua and Barbuda,1997,8
Antigua and Barbuda,1998,8
Antigua and Barbuda,1999,10
Antigua and Barbuda,2000,13
Antigua and Barbuda,2001,13
Antigua and Barbuda,2002,12
Antigua and Barbuda,2003,10
Antigua and Barbuda,2004,10
Antigua and Barbuda,2005,9
Antigua and Barbuda,2006,9
Antigua and Barbuda,2007,8
Antigua and Barbuda,2008,8
Antigua and Barbuda,2009,7
Antigua and Barbuda,2010,8
Antigua and Barbuda,2011,8
Antigua and Barbuda,2012,8
Antigua and Barbuda,2013,7
Antigua and Barbuda,2014,9
Antigua and Barbuda,2015,9
Antigua and Barbuda,2016,8
Antigua and Barbuda,2017,8
Antigua and Barbuda,2018,8
Antigua and Barbuda,2019,7
