Country,Year,HIV/AIDS
Bangladesh,2007,155
Bangladesh,2008,187
Bangladesh,2009,214
Bangladesh,2010,246
Bangladesh,2011,286
Bangladesh,2012,320
Bangladesh,2013,343
Bangladesh,2015,368
Bangladesh,2016,377
Bangladesh,1990,0
Bangladesh,1991,0
Bangladesh,1992,0
Bangladesh,1993,0
Bangladesh,1994,0
Bangladesh,1995,2
Bangladesh,1996,3
Bangladesh,1997,5
Bangladesh,1998,8
Bangladesh,1999,13
Bangladesh,2000,19
Bangladesh,2001,27
Bangladesh,2002,38
Bangladesh,2003,53
Bangladesh,2004,73
Bangladesh,2005,98
Bangladesh,2006,125
Bangladesh,2014,359
Bangladesh,2017,383
Bangladesh,2018,373
Bangladesh,2019,359
