Country,Year,HIV/AIDS
Barbados,1990,38
Barbados,1991,33
Barbados,1992,40
Barbados,1993,44
Barbados,1994,58
Barbados,1995,60
Barbados,1996,52
Barbados,1997,52
Barbados,1998,53
Barbados,1999,56
Barbados,2000,69
Barbados,2001,63
Barbados,2002,52
Barbados,2003,39
Barbados,2004,39
Barbados,2005,38
Barbados,2006,37
Barbados,2007,34
Barbados,2008,30
Barbados,2009,31
Barbados,2010,31
Barbados,2011,30
Barbados,2012,28
Barbados,2013,26
Barbados,2014,27
Barbados,2015,27
Barbados,2016,26
Barbados,2017,26
Barbados,2018,25
Barbados,2019,25
