Country,Year,HIV/AIDS
Belgium,1990,132
Belgium,1991,163
Belgium,1992,125
Belgium,1993,191
Belgium,1994,209
Belgium,1995,241
Belgium,1996,186
Belgium,1997,103
Belgium,1998,79
Belgium,1999,78
Belgium,2000,82
Belgium,2001,95
Belgium,2002,93
Belgium,2003,90
Belgium,2004,101
Belgium,2005,81
Belgium,2006,68
Belgium,2007,70
Belgium,2008,77
Belgium,2009,67
Belgium,2010,83
Belgium,2011,79
Belgium,2012,73
Belgium,2013,77
Belgium,2014,58
Belgium,2015,61
Belgium,2016,61
Belgium,2017,59
Belgium,2018,58
Belgium,2019,56
