Country,Year,HIV/AIDS
Bolivia,1990,206
Bolivia,1991,254
Bolivia,1992,301
Bolivia,1993,345
Bolivia,1994,387
Bolivia,1995,423
Bolivia,1996,458
Bolivia,1997,490
Bolivia,1998,519
Bolivia,1999,548
Bolivia,2000,575
Bolivia,2001,599
Bolivia,2002,616
Bolivia,2003,626
Bolivia,2004,635
Bolivia,2005,647
Bolivia,2006,654
Bolivia,2007,657
Bolivia,2008,676
Bolivia,2009,699
Bolivia,2010,734
Bolivia,2011,779
Bolivia,2012,823
Bolivia,2013,840
Bolivia,2014,837
Bolivia,2015,836
Bolivia,2016,804
Bolivia,2017,772
Bolivia,2018,757
Bolivia,2019,732
