Country,Year,HIV/AIDS
Bosnia and Herzegovina,1990,4
Bosnia and Herzegovina,1991,4
Bosnia and Herzegovina,1992,4
Bosnia and Herzegovina,1993,4
Bosnia and Herzegovina,1994,4
Bosnia and Herzegovina,1995,4
Bosnia and Herzegovina,1996,4
Bosnia and Herzegovina,1997,4
Bosnia and Herzegovina,1998,4
Bosnia and Herzegovina,1999,4
Bosnia and Herzegovina,2000,4
Bosnia and Herzegovina,2001,4
Bosnia and Herzegovina,2002,4
Bosnia and Herzegovina,2003,4
Bosnia and Herzegovina,2004,4
Bosnia and Herzegovina,2005,3
Bosnia and Herzegovina,2006,2
Bosnia and Herzegovina,2007,2
Bosnia and Herzegovina,2008,2
Bosnia and Herzegovina,2009,2
Bosnia and Herzegovina,2010,2
Bosnia and Herzegovina,2011,2
Bosnia and Herzegovina,2012,2
Bosnia and Herzegovina,2013,2
Bosnia and Herzegovina,2014,2
Bosnia and Herzegovina,2015,2
Bosnia and Herzegovina,2016,2
Bosnia and Herzegovina,2017,2
Bosnia and Herzegovina,2018,2
Bosnia and Herzegovina,2019,2
