Country,Year,HIV/AIDS
Brazil,1990,8072
Brazil,1991,10136
Brazil,1992,12066
Brazil,1993,14525
Brazil,1994,16499
Brazil,1995,18245
Brazil,1996,18234
Brazil,1997,15788
Brazil,1998,14615
Brazil,1999,14466
Brazil,2000,14524
Brazil,2001,14720
Brazil,2002,14657
Brazil,2003,15183
Brazil,2004,14760
Brazil,2005,14850
Brazil,2006,14627
Brazil,2007,14815
Brazil,2008,15287
Brazil,2009,15281
Brazil,2010,15502
Brazil,2011,15397
Brazil,2012,15316
Brazil,2013,15671
Brazil,2014,15675
Brazil,2015,15849
Brazil,2016,15812
Brazil,2017,15873
Brazil,2018,15727
Brazil,2019,15561
