Country,Year,HIV/AIDS
Burundi,1990,6301
Burundi,1991,8330
Burundi,1992,10482
Burundi,1993,12314
Burundi,1994,13971
Burundi,1995,15579
Burundi,1996,16722
Burundi,1997,17350
Burundi,1998,17645
Burundi,1999,17660
Burundi,2000,17329
Burundi,2001,16773
Burundi,2002,16052
Burundi,2003,15204
Burundi,2004,14084
Burundi,2005,12833
Burundi,2006,11532
Burundi,2007,10326
Burundi,2008,9311
Burundi,2009,8352
Burundi,2010,7520
Burundi,2011,6643
Burundi,2012,5872
Burundi,2013,5304
Burundi,2014,4782
Burundi,2015,4182
Burundi,2016,3424
Burundi,2017,2721
Burundi,2018,2245
Burundi,2019,2048
