Country,Year,HIV/AIDS
Cameroon,1990,1190
Cameroon,1991,1899
Cameroon,1992,2930
Cameroon,1993,4358
Cameroon,1994,6239
Cameroon,1995,8600
Cameroon,1996,11418
Cameroon,1997,14635
Cameroon,1998,18125
Cameroon,1999,21798
Cameroon,2000,25498
Cameroon,2001,28995
Cameroon,2002,32158
Cameroon,2003,34664
Cameroon,2004,35636
Cameroon,2005,35732
Cameroon,2006,36529
Cameroon,2007,36586
Cameroon,2008,35660
Cameroon,2009,34992
Cameroon,2010,34777
Cameroon,2011,34764
Cameroon,2012,34372
Cameroon,2013,34931
Cameroon,2014,35530
Cameroon,2015,34326
Cameroon,2016,31500
Cameroon,2017,27800
Cameroon,2018,24538
Cameroon,2019,23172
