Country,Year,HIV/AIDS
Cook Islands,1990,0
Cook Islands,1991,0
Cook Islands,1992,0
Cook Islands,1993,0
Cook Islands,1994,0
Cook Islands,1995,0
Cook Islands,1996,0
Cook Islands,1997,0
Cook Islands,1998,0
Cook Islands,1999,0
Cook Islands,2000,0
Cook Islands,2001,0
Cook Islands,2002,0
Cook Islands,2003,0
Cook Islands,2004,0
Cook Islands,2005,0
Cook Islands,2006,1
Cook Islands,2007,1
Cook Islands,2008,1
Cook Islands,2009,1
Cook Islands,2010,1
Cook Islands,2011,1
Cook Islands,2012,1
Cook Islands,2013,1
Cook Islands,2014,1
Cook Islands,2015,1
Cook Islands,2016,1
Cook Islands,2017,1
Cook Islands,2018,2
Cook Islands,2019,2
