Country,Year,HIV/AIDS
Democratic Republic of Congo,1990,18190
Democratic Republic of Congo,1991,22142
Democratic Republic of Congo,1992,26187
Democratic Republic of Congo,1993,30154
Democratic Republic of Congo,1994,33909
Democratic Republic of Congo,1995,37294
Democratic Republic of Congo,1996,40162
Democratic Republic of Congo,1997,42549
Democratic Republic of Congo,1998,44431
Democratic Republic of Congo,1999,45766
Democratic Republic of Congo,2000,46696
Democratic Republic of Congo,2001,47051
Democratic Republic of Congo,2002,47004
Democratic Republic of Congo,2003,46554
Democratic Republic of Congo,2004,45453
Democratic Republic of Congo,2005,43854
Democratic Republic of Congo,2006,41833
Democratic Republic of Congo,2007,40078
Democratic Republic of Congo,2008,38952
Democratic Republic of Congo,2009,37171
Democratic Republic of Congo,2010,34894
Democratic Republic of Congo,2011,33229
Democratic Republic of Congo,2012,30861
Democratic Republic of Congo,2013,28007
Democratic Republic of Congo,2014,24993
Democratic Republic of Congo,2015,22132
Democratic Republic of Congo,2016,19326
Democratic Republic of Congo,2017,15432
Democratic Republic of Congo,2018,11782
Democratic Republic of Congo,2019,10238
