Country,Year,HIV/AIDS
Dominican Republic,1990,352
Dominican Republic,1991,628
Dominican Republic,1992,979
Dominican Republic,1993,1384
Dominican Republic,1994,1809
Dominican Republic,1995,2226
Dominican Republic,1996,2596
Dominican Republic,1997,2919
Dominican Republic,1998,3179
Dominican Republic,1999,3379
Dominican Republic,2000,3524
Dominican Republic,2001,3611
Dominican Republic,2002,3657
Dominican Republic,2003,3686
Dominican Republic,2004,3644
Dominican Republic,2005,3430
Dominican Republic,2006,3100
Dominican Republic,2007,2732
Dominican Republic,2008,2406
Dominican Republic,2009,2247
Dominican Republic,2010,2169
Dominican Republic,2011,2083
Dominican Republic,2012,1998
Dominican Republic,2013,1939
Dominican Republic,2014,1846
Dominican Republic,2015,1705
Dominican Republic,2016,1604
Dominican Republic,2017,1529
Dominican Republic,2018,1422
Dominican Republic,2019,1362
