Country,Year,HIV/AIDS
Equatorial Guinea,2007,1324
Equatorial Guinea,2010,1580
Equatorial Guinea,2014,1791
Equatorial Guinea,1990,23
Equatorial Guinea,1991,36
Equatorial Guinea,1992,54
Equatorial Guinea,1993,80
Equatorial Guinea,1994,113
Equatorial Guinea,1995,157
Equatorial Guinea,1996,213
Equatorial Guinea,1997,280
Equatorial Guinea,1998,360
Equatorial Guinea,1999,454
Equatorial Guinea,2000,561
Equatorial Guinea,2001,675
Equatorial Guinea,2002,797
Equatorial Guinea,2003,928
Equatorial Guinea,2004,1050
Equatorial Guinea,2005,1154
Equatorial Guinea,2006,1245
Equatorial Guinea,2008,1360
Equatorial Guinea,2009,1415
Equatorial Guinea,2011,1840
Equatorial Guinea,2012,1924
Equatorial Guinea,2013,1783
Equatorial Guinea,2015,2007
Equatorial Guinea,2016,2084
Equatorial Guinea,2017,1996
Equatorial Guinea,2018,2038
Equatorial Guinea,2019,2118
