Country,Year,HIV/AIDS
France,1990,3053
France,1991,3967
France,1992,4563
France,1993,4924
France,1994,5250
France,1995,5077
France,1996,3884
France,1997,1702
France,1998,1356
France,1999,1297
France,2000,1274
France,2001,1225
France,2002,1223
France,2003,1151
France,2004,1135
France,2005,994
France,2006,982
France,2007,850
France,2008,774
France,2009,654
France,2010,584
France,2011,493
France,2012,501
France,2013,535
France,2014,429
France,2015,490
France,2016,487
France,2017,479
France,2018,468
France,2019,457
