Country,Year,HIV/AIDS
Gambia,2007,1188
Gambia,2008,1212
Gambia,2009,1189
Gambia,2012,994
Gambia,1990,24
Gambia,1991,38
Gambia,1992,60
Gambia,1993,90
Gambia,1994,131
Gambia,1995,185
Gambia,1996,252
Gambia,1997,333
Gambia,1998,426
Gambia,1999,528
Gambia,2000,636
Gambia,2001,746
Gambia,2002,854
Gambia,2003,956
Gambia,2004,1043
Gambia,2005,1093
Gambia,2006,1136
Gambia,2010,1117
Gambia,2011,1030
Gambia,2013,1047
Gambia,2014,1106
Gambia,2015,1128
Gambia,2016,1122
Gambia,2017,1097
Gambia,2018,1086
Gambia,2019,1078
