Country,Year,HIV/AIDS
Germany,1990,1680
Germany,1991,1990
Germany,1992,2147
Germany,1993,2436
Germany,1994,2507
Germany,1995,2271
Germany,1996,1797
Germany,1997,1019
Germany,1998,763
Germany,1999,741
Germany,2000,702
Germany,2001,660
Germany,2002,644
Germany,2003,623
Germany,2004,611
Germany,2005,595
Germany,2006,599
Germany,2007,563
Germany,2008,561
Germany,2009,548
Germany,2010,552
Germany,2011,567
Germany,2012,521
Germany,2013,513
Germany,2014,493
Germany,2015,511
Germany,2016,467
Germany,2017,451
Germany,2018,436
Germany,2019,421
