Country,Year,HIV/AIDS
Greenland,1990,2
Greenland,1991,3
Greenland,1992,3
Greenland,1993,3
Greenland,1994,4
Greenland,1995,4
Greenland,1996,4
Greenland,1997,3
Greenland,1998,3
Greenland,1999,3
Greenland,2000,3
Greenland,2001,3
Greenland,2002,3
Greenland,2003,3
Greenland,2004,3
Greenland,2005,3
Greenland,2006,3
Greenland,2007,3
Greenland,2008,3
Greenland,2009,3
Greenland,2010,3
Greenland,2011,3
Greenland,2012,3
Greenland,2013,2
Greenland,2014,2
Greenland,2015,2
Greenland,2016,2
Greenland,2017,2
Greenland,2018,2
Greenland,2019,2
