Country,Year,HIV/AIDS
Guatemala,1990,248
Guatemala,1991,274
Guatemala,1992,290
Guatemala,1993,314
Guatemala,1994,321
Guatemala,1995,348
Guatemala,1996,351
Guatemala,1997,417
Guatemala,1998,437
Guatemala,1999,511
Guatemala,2000,435
Guatemala,2001,485
Guatemala,2002,605
Guatemala,2003,656
Guatemala,2004,729
Guatemala,2005,868
Guatemala,2006,900
Guatemala,2007,845
Guatemala,2008,845
Guatemala,2009,795
Guatemala,2010,708
Guatemala,2011,699
Guatemala,2012,627
Guatemala,2013,579
Guatemala,2014,637
Guatemala,2015,570
Guatemala,2016,638
Guatemala,2017,652
Guatemala,2018,661
Guatemala,2019,669
