Country,Year,HIV/AIDS
Guinea-Bissau,1990,55
Guinea-Bissau,1991,85
Guinea-Bissau,1992,126
Guinea-Bissau,1993,181
Guinea-Bissau,1994,252
Guinea-Bissau,1995,340
Guinea-Bissau,1996,444
Guinea-Bissau,1997,563
Guinea-Bissau,1998,693
Guinea-Bissau,1999,830
Guinea-Bissau,2000,970
Guinea-Bissau,2001,1105
Guinea-Bissau,2002,1234
Guinea-Bissau,2003,1353
Guinea-Bissau,2004,1460
Guinea-Bissau,2005,1549
Guinea-Bissau,2006,1593
Guinea-Bissau,2007,1582
Guinea-Bissau,2008,1526
Guinea-Bissau,2009,1482
Guinea-Bissau,2010,1463
Guinea-Bissau,2011,1407
Guinea-Bissau,2012,1317
Guinea-Bissau,2013,1269
Guinea-Bissau,2014,1255
Guinea-Bissau,2015,1219
Guinea-Bissau,2016,1136
Guinea-Bissau,2017,1083
Guinea-Bissau,2018,1048
Guinea-Bissau,2019,1003
