Country,Year,HIV/AIDS
Guinea,1990,251
Guinea,1991,368
Guinea,1992,525
Guinea,1993,724
Guinea,1994,969
Guinea,1995,1267
Guinea,1996,1608
Guinea,1997,1967
Guinea,1998,2354
Guinea,1999,2772
Guinea,2000,3194
Guinea,2001,3590
Guinea,2002,3948
Guinea,2003,4290
Guinea,2004,4608
Guinea,2005,4794
Guinea,2006,4749
Guinea,2007,4763
Guinea,2008,4796
Guinea,2009,4581
Guinea,2010,4333
Guinea,2011,4249
Guinea,2012,4052
Guinea,2013,4021
Guinea,2014,4221
Guinea,2015,4363
Guinea,2016,4449
Guinea,2017,4381
Guinea,2018,4191
Guinea,2019,4037
