Country,Year,HIV/AIDS
Haiti,1990,2922
Haiti,1991,4232
Haiti,1992,5711
Haiti,1993,7260
Haiti,1994,8771
Haiti,1995,10146
Haiti,1996,11329
Haiti,1997,12294
Haiti,1998,13065
Haiti,1999,13637
Haiti,2000,14037
Haiti,2001,14247
Haiti,2002,14294
Haiti,2003,14241
Haiti,2004,14088
Haiti,2005,13614
Haiti,2006,12735
Haiti,2007,11811
Haiti,2008,10993
Haiti,2009,10472
Haiti,2010,10370
Haiti,2011,10128
Haiti,2012,9486
Haiti,2013,8893
Haiti,2014,8477
Haiti,2015,8082
Haiti,2016,7243
Haiti,2017,6279
Haiti,2018,5930
Haiti,2019,5908
