Country,Year,HIV/AIDS
Hungary,1990,165
Hungary,1991,207
Hungary,1992,217
Hungary,1993,275
Hungary,1994,239
Hungary,1995,242
Hungary,1996,208
Hungary,1997,192
Hungary,1998,176
Hungary,1999,175
Hungary,2000,157
Hungary,2001,131
Hungary,2002,122
Hungary,2003,107
Hungary,2004,111
Hungary,2005,94
Hungary,2006,85
Hungary,2007,84
Hungary,2008,60
Hungary,2009,73
Hungary,2010,67
Hungary,2011,65
Hungary,2012,59
Hungary,2013,34
Hungary,2014,48
Hungary,2015,34
Hungary,2016,32
Hungary,2017,38
Hungary,2018,38
Hungary,2019,37
