Country,Year,HIV/AIDS
Jamaica,2007,499
Jamaica,2008,493
Jamaica,2009,428
Jamaica,1990,182
Jamaica,1991,203
Jamaica,1992,229
Jamaica,1993,259
Jamaica,1994,293
Jamaica,1995,331
Jamaica,1996,376
Jamaica,1997,426
Jamaica,1998,485
Jamaica,1999,558
Jamaica,2000,700
Jamaica,2001,741
Jamaica,2002,676
Jamaica,2003,594
Jamaica,2004,633
Jamaica,2005,362
Jamaica,2006,504
Jamaica,2010,618
Jamaica,2011,482
Jamaica,2012,484
Jamaica,2013,474
Jamaica,2014,464
Jamaica,2015,454
Jamaica,2016,444
Jamaica,2017,435
Jamaica,2018,426
Jamaica,2019,418
