Country,Year,HIV/AIDS
Kenya,2007,104536
Kenya,2008,95338
Kenya,2009,87459
Kenya,1990,21636
Kenya,1991,31779
Kenya,1992,43936
Kenya,1993,57408
Kenya,1994,71363
Kenya,1995,84982
Kenya,1996,97499
Kenya,1997,108473
Kenya,1998,117468
Kenya,1999,124388
Kenya,2000,129471
Kenya,2001,132670
Kenya,2002,134431
Kenya,2003,134657
Kenya,2004,131263
Kenya,2005,124634
Kenya,2006,115366
Kenya,2010,80975
Kenya,2011,75359
Kenya,2012,70882
Kenya,2013,68558
Kenya,2014,66147
Kenya,2015,61486
Kenya,2016,56460
Kenya,2017,52714
Kenya,2018,51066
Kenya,2019,51135
