Country,Year,HIV/AIDS
Kiribati,1990,1
Kiribati,1991,1
Kiribati,1992,1
Kiribati,1993,1
Kiribati,1994,1
Kiribati,1995,1
Kiribati,1996,1
Kiribati,1997,1
Kiribati,1998,1
Kiribati,1999,1
Kiribati,2000,1
Kiribati,2001,1
Kiribati,2002,2
Kiribati,2003,2
Kiribati,2004,2
Kiribati,2005,2
Kiribati,2006,2
Kiribati,2007,2
Kiribati,2008,2
Kiribati,2009,2
Kiribati,2010,2
Kiribati,2011,2
Kiribati,2012,2
Kiribati,2013,2
Kiribati,2014,2
Kiribati,2015,2
Kiribati,2016,2
Kiribati,2017,2
Kiribati,2018,2
Kiribati,2019,2
