Country,Year,HIV/AIDS
Kyrgyzstan,1990,29
Kyrgyzstan,1991,44
Kyrgyzstan,1992,37
Kyrgyzstan,1993,51
Kyrgyzstan,1994,56
Kyrgyzstan,1995,67
Kyrgyzstan,1996,77
Kyrgyzstan,1997,88
Kyrgyzstan,1998,124
Kyrgyzstan,1999,145
Kyrgyzstan,2000,137
Kyrgyzstan,2001,165
Kyrgyzstan,2002,136
Kyrgyzstan,2003,131
Kyrgyzstan,2004,117
Kyrgyzstan,2005,136
Kyrgyzstan,2006,128
Kyrgyzstan,2007,141
Kyrgyzstan,2008,109
Kyrgyzstan,2009,131
Kyrgyzstan,2010,125
Kyrgyzstan,2011,146
Kyrgyzstan,2012,170
Kyrgyzstan,2013,192
Kyrgyzstan,2014,207
Kyrgyzstan,2015,184
Kyrgyzstan,2016,177
Kyrgyzstan,2017,175
Kyrgyzstan,2018,172
Kyrgyzstan,2019,170
