Country,Year,HIV/AIDS
Lebanon,1990,48
Lebanon,1991,53
Lebanon,1992,58
Lebanon,1993,62
Lebanon,1994,66
Lebanon,1995,69
Lebanon,1996,71
Lebanon,1997,72
Lebanon,1998,73
Lebanon,1999,74
Lebanon,2000,75
Lebanon,2001,73
Lebanon,2002,71
Lebanon,2003,67
Lebanon,2004,64
Lebanon,2005,62
Lebanon,2006,60
Lebanon,2007,59
Lebanon,2008,58
Lebanon,2009,58
Lebanon,2010,60
Lebanon,2011,62
Lebanon,2012,63
Lebanon,2013,62
Lebanon,2014,61
Lebanon,2015,61
Lebanon,2016,61
Lebanon,2017,61
Lebanon,2018,61
Lebanon,2019,61
