Country,Year,HIV/AIDS
Lesotho,1990,507
Lesotho,1991,850
Lesotho,1992,1367
Lesotho,1993,2105
Lesotho,1994,3093
Lesotho,1995,4335
Lesotho,1996,5808
Lesotho,1997,7467
Lesotho,1998,9245
Lesotho,1999,11063
Lesotho,2000,12815
Lesotho,2001,14299
Lesotho,2002,15644
Lesotho,2003,16919
Lesotho,2004,17922
Lesotho,2005,18163
Lesotho,2006,17506
Lesotho,2007,15716
Lesotho,2008,13744
Lesotho,2009,12596
Lesotho,2010,11834
Lesotho,2011,11991
Lesotho,2012,12704
Lesotho,2013,13247
Lesotho,2014,13576
Lesotho,2015,13238
Lesotho,2016,12179
Lesotho,2017,11184
Lesotho,2018,10832
Lesotho,2019,10793
