Country,Year,HIV/AIDS
Lithuania,1990,28
Lithuania,1991,31
Lithuania,1992,22
Lithuania,1993,26
Lithuania,1994,48
Lithuania,1995,56
Lithuania,1996,31
Lithuania,1997,26
Lithuania,1998,42
Lithuania,1999,67
Lithuania,2000,57
Lithuania,2001,60
Lithuania,2002,60
Lithuania,2003,70
Lithuania,2004,85
Lithuania,2005,62
Lithuania,2006,63
Lithuania,2007,76
Lithuania,2008,84
Lithuania,2009,78
Lithuania,2010,89
Lithuania,2011,78
Lithuania,2012,68
Lithuania,2013,65
Lithuania,2014,75
Lithuania,2015,69
Lithuania,2016,76
Lithuania,2017,67
Lithuania,2018,64
Lithuania,2019,61
