Country,Year,HIV/AIDS
Malawi,1990,13908
Malawi,1991,18806
Malawi,1992,24280
Malawi,1993,30480
Malawi,1994,37145
Malawi,1995,43480
Malawi,1996,49374
Malawi,1997,54877
Malawi,1998,59688
Malawi,1999,63585
Malawi,2000,66561
Malawi,2001,68734
Malawi,2002,70145
Malawi,2003,70966
Malawi,2004,71125
Malawi,2005,69277
Malawi,2006,64699
Malawi,2007,58137
Malawi,2008,50471
Malawi,2009,44036
Malawi,2010,39192
Malawi,2011,34354
Malawi,2012,28814
Malawi,2013,24373
Malawi,2014,22035
Malawi,2015,20660
Malawi,2016,19307
Malawi,2017,17328
Malawi,2018,15284
Malawi,2019,14227
