Country,Year,HIV/AIDS
Malaysia,2007,1992
Malaysia,2008,2001
Malaysia,2010,2145
Malaysia,2013,2611
Malaysia,2014,2622
Malaysia,2015,2516
Malaysia,2016,2340
Malaysia,1990,43
Malaysia,1991,105
Malaysia,1992,226
Malaysia,1993,383
Malaysia,1994,569
Malaysia,1995,786
Malaysia,1996,1021
Malaysia,1997,1254
Malaysia,1998,1476
Malaysia,1999,1672
Malaysia,2000,1855
Malaysia,2001,2034
Malaysia,2002,2125
Malaysia,2003,2096
Malaysia,2004,2033
Malaysia,2005,1996
Malaysia,2006,1984
Malaysia,2009,2018
Malaysia,2011,2358
Malaysia,2012,2526
Malaysia,2017,1939
Malaysia,2018,1596
Malaysia,2019,1521
