Country,Year,HIV/AIDS
Moldova,1990,54
Moldova,1991,78
Moldova,1992,70
Moldova,1993,98
Moldova,1994,133
Moldova,1995,128
Moldova,1996,156
Moldova,1997,139
Moldova,1998,136
Moldova,1999,161
Moldova,2000,193
Moldova,2001,162
Moldova,2002,184
Moldova,2003,186
Moldova,2004,216
Moldova,2005,220
Moldova,2006,223
Moldova,2007,245
Moldova,2008,240
Moldova,2009,216
Moldova,2010,211
Moldova,2011,205
Moldova,2012,180
Moldova,2013,171
Moldova,2014,175
Moldova,2015,169
Moldova,2016,154
Moldova,2017,167
Moldova,2018,166
Moldova,2019,163
