Country,Year,HIV/AIDS
Mongolia,2007,6
Mongolia,2008,6
Mongolia,2009,7
Mongolia,1990,0
Mongolia,1991,0
Mongolia,1992,0
Mongolia,1993,0
Mongolia,1994,0
Mongolia,1995,1
Mongolia,1996,1
Mongolia,1997,2
Mongolia,1998,2
Mongolia,1999,3
Mongolia,2000,4
Mongolia,2001,4
Mongolia,2002,5
Mongolia,2003,5
Mongolia,2004,5
Mongolia,2005,5
Mongolia,2006,6
Mongolia,2010,8
Mongolia,2011,9
Mongolia,2012,10
Mongolia,2013,11
Mongolia,2014,12
Mongolia,2015,12
Mongolia,2016,13
Mongolia,2017,14
Mongolia,2018,14
Mongolia,2019,15
