Country,Year,HIV/AIDS
Montenegro,1990,1
Montenegro,1991,1
Montenegro,1992,1
Montenegro,1993,1
Montenegro,1994,1
Montenegro,1995,2
Montenegro,1996,2
Montenegro,1997,2
Montenegro,1998,2
Montenegro,1999,3
Montenegro,2000,3
Montenegro,2001,3
Montenegro,2002,3
Montenegro,2003,3
Montenegro,2004,3
Montenegro,2005,3
Montenegro,2006,2
Montenegro,2007,2
Montenegro,2008,2
Montenegro,2009,2
Montenegro,2010,2
Montenegro,2011,2
Montenegro,2012,2
Montenegro,2013,2
Montenegro,2014,2
Montenegro,2015,2
Montenegro,2016,2
Montenegro,2017,1
Montenegro,2018,1
Montenegro,2019,1
