Country,Year,HIV/AIDS
Morocco,1990,103
Morocco,1991,127
Morocco,1992,155
Morocco,1993,187
Morocco,1994,223
Morocco,1995,264
Morocco,1996,308
Morocco,1997,355
Morocco,1998,407
Morocco,1999,466
Morocco,2000,532
Morocco,2001,603
Morocco,2002,677
Morocco,2003,749
Morocco,2004,776
Morocco,2005,781
Morocco,2006,809
Morocco,2007,846
Morocco,2008,877
Morocco,2009,882
Morocco,2010,897
Morocco,2011,929
Morocco,2012,920
Morocco,2013,865
Morocco,2014,789
Morocco,2015,728
Morocco,2016,660
Morocco,2017,600
Morocco,2018,543
Morocco,2019,494
