Country,Year,HIV/AIDS
Mozambique,1990,2255
Mozambique,1991,3396
Mozambique,1992,5042
Mozambique,1993,7465
Mozambique,1994,10749
Mozambique,1995,14782
Mozambique,1996,19479
Mozambique,1997,24887
Mozambique,1998,30875
Mozambique,1999,37324
Mozambique,2000,44118
Mozambique,2001,50982
Mozambique,2002,57876
Mozambique,2003,64331
Mozambique,2004,70176
Mozambique,2005,75008
Mozambique,2006,74473
Mozambique,2007,70876
Mozambique,2008,69623
Mozambique,2009,71386
Mozambique,2010,74461
Mozambique,2011,77277
Mozambique,2012,81042
Mozambique,2013,81340
Mozambique,2014,76816
Mozambique,2015,72656
Mozambique,2016,70326
Mozambique,2017,68707
Mozambique,2018,67234
Mozambique,2019,66304
