Country,Year,HIV/AIDS
Myanmar,1990,43
Myanmar,1991,141
Myanmar,1992,486
Myanmar,1993,1074
Myanmar,1994,1704
Myanmar,1995,2497
Myanmar,1996,3417
Myanmar,1997,4435
Myanmar,1998,5565
Myanmar,1999,6787
Myanmar,2000,8147
Myanmar,2001,9623
Myanmar,2002,11135
Myanmar,2003,12612
Myanmar,2004,13985
Myanmar,2005,15201
Myanmar,2006,16092
Myanmar,2007,16572
Myanmar,2008,16645
Myanmar,2009,16474
Myanmar,2010,16109
Myanmar,2011,15418
Myanmar,2012,14354
Myanmar,2013,13067
Myanmar,2014,11593
Myanmar,2015,9950
Myanmar,2016,8294
Myanmar,2017,6772
Myanmar,2018,5605
Myanmar,2019,4773
