Country,Year,HIV/AIDS
Namibia,1990,267
Namibia,1991,449
Namibia,1992,731
Namibia,1993,1147
Namibia,1994,1725
Namibia,1995,2476
Namibia,1996,3388
Namibia,1997,4436
Namibia,1998,5576
Namibia,1999,6751
Namibia,2000,7912
Namibia,2001,9002
Namibia,2002,9974
Namibia,2003,10700
Namibia,2004,10732
Namibia,2005,9968
Namibia,2006,8672
Namibia,2007,7092
Namibia,2008,5918
Namibia,2009,5489
Namibia,2010,5176
Namibia,2011,4719
Namibia,2012,4263
Namibia,2013,4142
Namibia,2014,4401
Namibia,2015,4550
Namibia,2016,4526
Namibia,2017,4377
Namibia,2018,4005
Namibia,2019,3772
