Country,Year,HIV/AIDS
Nicaragua,1990,19
Nicaragua,1991,22
Nicaragua,1992,24
Nicaragua,1993,27
Nicaragua,1994,30
Nicaragua,1995,34
Nicaragua,1996,39
Nicaragua,1997,45
Nicaragua,1998,54
Nicaragua,1999,65
Nicaragua,2000,78
Nicaragua,2001,93
Nicaragua,2002,111
Nicaragua,2003,132
Nicaragua,2004,153
Nicaragua,2005,175
Nicaragua,2006,192
Nicaragua,2007,205
Nicaragua,2008,217
Nicaragua,2009,229
Nicaragua,2010,275
Nicaragua,2011,341
Nicaragua,2012,399
Nicaragua,2013,447
Nicaragua,2014,498
Nicaragua,2015,543
Nicaragua,2016,534
Nicaragua,2017,534
Nicaragua,2018,542
Nicaragua,2019,561
