Country,Year,HIV/AIDS
Nigeria,2007,100730
Nigeria,2008,95773
Nigeria,2009,89799
Nigeria,2013,77539
Nigeria,2016,77599
Nigeria,1990,7723
Nigeria,1991,11761
Nigeria,1992,17130
Nigeria,1993,23871
Nigeria,1994,31881
Nigeria,1995,40865
Nigeria,1996,50405
Nigeria,1997,59969
Nigeria,1998,71604
Nigeria,1999,82999
Nigeria,2000,91616
Nigeria,2001,99303
Nigeria,2002,104701
Nigeria,2003,108081
Nigeria,2004,109749
Nigeria,2005,109023
Nigeria,2006,105000
Nigeria,2010,87236
Nigeria,2011,86006
Nigeria,2012,82793
Nigeria,2014,74814
Nigeria,2015,75930
Nigeria,2017,79121
Nigeria,2018,81427
Nigeria,2019,82270
