Country,Year,HIV/AIDS
North Macedonia,1990,1
North Macedonia,1991,1
North Macedonia,1992,1
North Macedonia,1993,1
North Macedonia,1994,1
North Macedonia,1995,1
North Macedonia,1996,1
North Macedonia,1997,1
North Macedonia,1998,1
North Macedonia,1999,1
North Macedonia,2000,2
North Macedonia,2001,2
North Macedonia,2002,2
North Macedonia,2003,2
North Macedonia,2004,2
North Macedonia,2005,2
North Macedonia,2006,3
North Macedonia,2007,3
North Macedonia,2008,3
North Macedonia,2009,2
North Macedonia,2010,2
North Macedonia,2011,2
North Macedonia,2012,3
North Macedonia,2013,3
North Macedonia,2014,3
North Macedonia,2015,2
North Macedonia,2016,2
North Macedonia,2017,2
North Macedonia,2018,2
North Macedonia,2019,2
