Country,Year,HIV/AIDS
Pakistan,2007,804
Pakistan,2008,913
Pakistan,2009,1043
Pakistan,2012,1775
Pakistan,2014,2418
Pakistan,2015,2758
Pakistan,2016,3072
Pakistan,1990,288
Pakistan,1991,336
Pakistan,1992,381
Pakistan,1993,420
Pakistan,1994,451
Pakistan,1995,472
Pakistan,1996,484
Pakistan,1997,492
Pakistan,1998,496
Pakistan,1999,499
Pakistan,2000,503
Pakistan,2001,512
Pakistan,2002,529
Pakistan,2003,554
Pakistan,2004,590
Pakistan,2005,637
Pakistan,2006,708
Pakistan,2010,1244
Pakistan,2011,1477
Pakistan,2013,2075
Pakistan,2017,3402
Pakistan,2018,3686
Pakistan,2019,3949
