Country,Year,HIV/AIDS
Panama,1990,158
Panama,1991,180
Panama,1992,205
Panama,1993,232
Panama,1994,265
Panama,1995,301
Panama,1996,342
Panama,1997,391
Panama,1998,468
Panama,1999,517
Panama,2000,515
Panama,2001,520
Panama,2002,518
Panama,2003,464
Panama,2004,484
Panama,2005,486
Panama,2006,509
Panama,2007,493
Panama,2008,507
Panama,2009,527
Panama,2010,568
Panama,2011,487
Panama,2012,515
Panama,2013,563
Panama,2014,518
Panama,2015,589
Panama,2016,557
Panama,2017,554
Panama,2018,548
Panama,2019,540
