Country,Year,HIV/AIDS
Paraguay,1990,34
Paraguay,1991,40
Paraguay,1992,46
Paraguay,1993,53
Paraguay,1994,60
Paraguay,1995,69
Paraguay,1996,80
Paraguay,1997,92
Paraguay,1998,107
Paraguay,1999,125
Paraguay,2000,148
Paraguay,2001,176
Paraguay,2002,209
Paraguay,2003,249
Paraguay,2004,300
Paraguay,2005,362
Paraguay,2006,386
Paraguay,2007,378
Paraguay,2008,409
Paraguay,2009,436
Paraguay,2010,489
Paraguay,2011,577
Paraguay,2012,648
Paraguay,2013,692
Paraguay,2014,720
Paraguay,2015,728
Paraguay,2016,728
Paraguay,2017,696
Paraguay,2018,627
Paraguay,2019,570
