Country,Year,HIV/AIDS
Puerto Rico,1990,949
Puerto Rico,1991,1115
Puerto Rico,1992,1267
Puerto Rico,1993,1278
Puerto Rico,1994,1705
Puerto Rico,1995,1684
Puerto Rico,1996,1537
Puerto Rico,1997,956
Puerto Rico,1998,754
Puerto Rico,1999,769
Puerto Rico,2000,700
Puerto Rico,2001,777
Puerto Rico,2002,643
Puerto Rico,2003,550
Puerto Rico,2004,583
Puerto Rico,2005,579
Puerto Rico,2006,518
Puerto Rico,2007,445
Puerto Rico,2008,459
Puerto Rico,2009,418
Puerto Rico,2010,372
Puerto Rico,2011,317
Puerto Rico,2012,265
Puerto Rico,2013,255
Puerto Rico,2014,261
Puerto Rico,2015,221
Puerto Rico,2016,248
Puerto Rico,2017,244
Puerto Rico,2018,237
Puerto Rico,2019,231
