Country,Year,HIV/AIDS
Rwanda,1990,1940
Rwanda,1991,2618
Rwanda,1992,3583
Rwanda,1993,4696
Rwanda,1994,5869
Rwanda,1995,7296
Rwanda,1996,8838
Rwanda,1997,10488
Rwanda,1998,11953
Rwanda,1999,13002
Rwanda,2000,13841
Rwanda,2001,14436
Rwanda,2002,14831
Rwanda,2003,14594
Rwanda,2004,13617
Rwanda,2005,11837
Rwanda,2006,9610
Rwanda,2007,8143
Rwanda,2008,7305
Rwanda,2009,6500
Rwanda,2010,5745
Rwanda,2011,5181
Rwanda,2012,4775
Rwanda,2013,4426
Rwanda,2014,4228
Rwanda,2015,3983
Rwanda,2016,3640
Rwanda,2017,3363
Rwanda,2018,3165
Rwanda,2019,3065
