Country,Year,HIV/AIDS
Saint Kitts and Nevis,1990,1
Saint Kitts and Nevis,1991,2
Saint Kitts and Nevis,1992,3
Saint Kitts and Nevis,1993,3
Saint Kitts and Nevis,1994,4
Saint Kitts and Nevis,1995,5
Saint Kitts and Nevis,1996,6
Saint Kitts and Nevis,1997,7
Saint Kitts and Nevis,1998,8
Saint Kitts and Nevis,1999,10
Saint Kitts and Nevis,2000,11
Saint Kitts and Nevis,2001,12
Saint Kitts and Nevis,2002,13
Saint Kitts and Nevis,2003,14
Saint Kitts and Nevis,2004,15
Saint Kitts and Nevis,2005,16
Saint Kitts and Nevis,2006,17
Saint Kitts and Nevis,2007,17
Saint Kitts and Nevis,2008,18
Saint Kitts and Nevis,2009,19
Saint Kitts and Nevis,2010,20
Saint Kitts and Nevis,2011,21
Saint Kitts and Nevis,2012,23
Saint Kitts and Nevis,2013,24
Saint Kitts and Nevis,2014,25
Saint Kitts and Nevis,2015,26
Saint Kitts and Nevis,2016,27
Saint Kitts and Nevis,2017,29
Saint Kitts and Nevis,2018,30
Saint Kitts and Nevis,2019,32
