Country,Year,HIV/AIDS
Saint Lucia,1990,8
Saint Lucia,1991,5
Saint Lucia,1992,6
Saint Lucia,1993,7
Saint Lucia,1994,9
Saint Lucia,1995,8
Saint Lucia,1996,10
Saint Lucia,1997,8
Saint Lucia,1998,8
Saint Lucia,1999,10
Saint Lucia,2000,11
Saint Lucia,2001,11
Saint Lucia,2002,11
Saint Lucia,2003,11
Saint Lucia,2004,10
Saint Lucia,2005,9
Saint Lucia,2006,9
Saint Lucia,2007,9
Saint Lucia,2008,7
Saint Lucia,2009,8
Saint Lucia,2010,8
Saint Lucia,2011,8
Saint Lucia,2012,8
Saint Lucia,2013,8
Saint Lucia,2014,9
Saint Lucia,2015,8
Saint Lucia,2016,8
Saint Lucia,2017,8
Saint Lucia,2018,7
Saint Lucia,2019,7
