Country,Year,HIV/AIDS
Senegal,1990,271
Senegal,1991,395
Senegal,1992,556
Senegal,1993,758
Senegal,1994,998
Senegal,1995,1274
Senegal,1996,1576
Senegal,1997,1895
Senegal,1998,2219
Senegal,1999,2533
Senegal,2000,2825
Senegal,2001,3066
Senegal,2002,3275
Senegal,2003,3457
Senegal,2004,3593
Senegal,2005,3673
Senegal,2006,3624
Senegal,2007,2956
Senegal,2008,2252
Senegal,2009,2216
Senegal,2010,2374
Senegal,2011,2500
Senegal,2012,2646
Senegal,2013,2741
Senegal,2014,2626
Senegal,2015,2438
Senegal,2016,2216
Senegal,2017,1965
Senegal,2018,1730
Senegal,2019,1603
