Country,Year,HIV/AIDS
Slovakia,1990,1
Slovakia,1991,1
Slovakia,1992,2
Slovakia,1993,3
Slovakia,1994,3
Slovakia,1995,4
Slovakia,1996,4
Slovakia,1997,5
Slovakia,1998,5
Slovakia,1999,6
Slovakia,2000,6
Slovakia,2001,6
Slovakia,2002,5
Slovakia,2003,6
Slovakia,2004,6
Slovakia,2005,5
Slovakia,2006,3
Slovakia,2007,3
Slovakia,2008,3
Slovakia,2009,4
Slovakia,2010,4
Slovakia,2011,5
Slovakia,2012,6
Slovakia,2013,6
Slovakia,2014,5
Slovakia,2015,4
Slovakia,2016,4
Slovakia,2017,4
Slovakia,2018,4
Slovakia,2019,4
