Country,Year,HIV/AIDS
Slovenia,1990,4
Slovenia,1991,3
Slovenia,1992,3
Slovenia,1993,5
Slovenia,1994,3
Slovenia,1995,8
Slovenia,1996,3
Slovenia,1997,3
Slovenia,1998,10
Slovenia,1999,6
Slovenia,2000,4
Slovenia,2001,8
Slovenia,2002,4
Slovenia,2003,3
Slovenia,2004,2
Slovenia,2005,3
Slovenia,2006,1
Slovenia,2007,4
Slovenia,2008,5
Slovenia,2009,2
Slovenia,2010,1
Slovenia,2011,2
Slovenia,2012,2
Slovenia,2013,5
Slovenia,2014,4
Slovenia,2015,3
Slovenia,2016,3
Slovenia,2017,2
Slovenia,2018,2
Slovenia,2019,2
