Country,Year,HIV/AIDS
Somalia,2007,4263
Somalia,2009,4148
Somalia,2010,4073
Somalia,2011,3993
Somalia,2012,3894
Somalia,2013,3797
Somalia,2014,3714
Somalia,2015,3612
Somalia,2016,3492
Somalia,1990,26
Somalia,1991,81
Somalia,1992,151
Somalia,1993,265
Somalia,1994,439
Somalia,1995,687
Somalia,1996,1013
Somalia,1997,1407
Somalia,1998,1845
Somalia,1999,2306
Somalia,2000,2761
Somalia,2001,3181
Somalia,2002,3545
Somalia,2003,3839
Somalia,2004,4059
Somalia,2005,4195
Somalia,2006,4257
Somalia,2008,4223
Somalia,2017,3373
Somalia,2018,3249
Somalia,2019,3188
