Country,Year,HIV/AIDS
South Africa,1990,2850
South Africa,1991,5007
South Africa,1992,8684
South Africa,1993,14626
South Africa,1994,23747
South Africa,1995,37044
South Africa,1996,55168
South Africa,1997,78368
South Africa,1998,106131
South Africa,1999,136870
South Africa,2000,169847
South Africa,2001,202764
South Africa,2002,234098
South Africa,2003,262718
South Africa,2004,286607
South Africa,2005,301614
South Africa,2006,305491
South Africa,2007,298253
South Africa,2008,282664
South Africa,2009,260926
South Africa,2010,240024
South Africa,2011,217917
South Africa,2012,193635
South Africa,2013,175969
South Africa,2014,167813
South Africa,2015,166978
South Africa,2016,172025
South Africa,2017,169326
South Africa,2018,153281
South Africa,2019,143851
