Country,Year,HIV/AIDS
South Sudan,2011,6313
South Sudan,2012,6271
South Sudan,2013,6178
South Sudan,2015,5504
South Sudan,2016,5045
South Sudan,1990,261
South Sudan,1991,389
South Sudan,1992,561
South Sudan,1993,783
South Sudan,1994,1058
South Sudan,1995,1386
South Sudan,1996,1762
South Sudan,1997,2176
South Sudan,1998,2618
South Sudan,1999,3073
South Sudan,2000,3529
South Sudan,2001,3972
South Sudan,2002,4394
South Sudan,2003,4787
South Sudan,2004,5144
South Sudan,2005,5464
South Sudan,2006,5750
South Sudan,2007,5990
South Sudan,2008,6182
South Sudan,2009,6263
South Sudan,2010,6303
South Sudan,2014,5983
South Sudan,2017,4839
South Sudan,2018,4583
South Sudan,2019,4391
