Country,Year,HIV/AIDS
Sri Lanka,1990,30
Sri Lanka,1991,35
Sri Lanka,1992,41
Sri Lanka,1993,47
Sri Lanka,1994,53
Sri Lanka,1995,59
Sri Lanka,1996,65
Sri Lanka,1997,70
Sri Lanka,1998,75
Sri Lanka,1999,79
Sri Lanka,2000,82
Sri Lanka,2001,83
Sri Lanka,2002,84
Sri Lanka,2003,85
Sri Lanka,2004,84
Sri Lanka,2005,83
Sri Lanka,2006,78
Sri Lanka,2007,73
Sri Lanka,2008,69
Sri Lanka,2009,67
Sri Lanka,2010,67
Sri Lanka,2011,71
Sri Lanka,2012,72
Sri Lanka,2013,70
Sri Lanka,2014,65
Sri Lanka,2015,59
Sri Lanka,2016,54
Sri Lanka,2017,47
Sri Lanka,2018,41
Sri Lanka,2019,38
