Country,Year,HIV/AIDS
Suriname,1990,61
Suriname,1991,44
Suriname,1992,45
Suriname,1993,50
Suriname,1994,58
Suriname,1995,69
Suriname,1996,86
Suriname,1997,83
Suriname,1998,90
Suriname,1999,115
Suriname,2000,144
Suriname,2001,150
Suriname,2002,175
Suriname,2003,167
Suriname,2004,171
Suriname,2005,158
Suriname,2006,150
Suriname,2007,140
Suriname,2008,123
Suriname,2009,120
Suriname,2010,128
Suriname,2011,116
Suriname,2012,116
Suriname,2013,106
Suriname,2014,125
Suriname,2015,112
Suriname,2016,108
Suriname,2017,106
Suriname,2018,103
Suriname,2019,100
