Country,Year,HIV/AIDS
Tanzania,1990,35260
Tanzania,1991,46430
Tanzania,1992,58231
Tanzania,1993,70048
Tanzania,1994,81330
Tanzania,1995,91649
Tanzania,1996,100572
Tanzania,1997,108123
Tanzania,1998,114228
Tanzania,1999,118955
Tanzania,2000,122393
Tanzania,2001,124346
Tanzania,2002,125259
Tanzania,2003,125363
Tanzania,2004,124863
Tanzania,2005,123268
Tanzania,2006,117194
Tanzania,2007,104354
Tanzania,2008,93044
Tanzania,2009,87009
Tanzania,2010,80830
Tanzania,2011,75933
Tanzania,2012,66230
Tanzania,2013,53911
Tanzania,2014,45772
Tanzania,2015,40967
Tanzania,2016,38209
Tanzania,2017,34451
Tanzania,2018,29700
Tanzania,2019,27125
