Country,Year,HIV/AIDS
Tunisia,1990,9
Tunisia,1991,11
Tunisia,1992,13
Tunisia,1993,16
Tunisia,1994,18
Tunisia,1995,21
Tunisia,1996,24
Tunisia,1997,28
Tunisia,1998,32
Tunisia,1999,37
Tunisia,2000,42
Tunisia,2001,48
Tunisia,2002,53
Tunisia,2003,56
Tunisia,2004,63
Tunisia,2005,70
Tunisia,2006,77
Tunisia,2007,85
Tunisia,2008,93
Tunisia,2009,100
Tunisia,2010,110
Tunisia,2011,122
Tunisia,2012,131
Tunisia,2013,139
Tunisia,2014,145
Tunisia,2015,147
Tunisia,2016,149
Tunisia,2017,152
Tunisia,2018,150
Tunisia,2019,148
