Country,Year,HIV/AIDS
Turkmenistan,1990,59
Turkmenistan,1991,68
Turkmenistan,1992,73
Turkmenistan,1993,93
Turkmenistan,1994,100
Turkmenistan,1995,124
Turkmenistan,1996,162
Turkmenistan,1997,186
Turkmenistan,1998,186
Turkmenistan,1999,198
Turkmenistan,2000,207
Turkmenistan,2001,185
Turkmenistan,2002,140
Turkmenistan,2003,142
Turkmenistan,2004,149
Turkmenistan,2005,163
Turkmenistan,2006,141
Turkmenistan,2007,140
Turkmenistan,2008,133
Turkmenistan,2009,147
Turkmenistan,2010,147
Turkmenistan,2011,126
Turkmenistan,2012,114
Turkmenistan,2013,111
Turkmenistan,2014,114
Turkmenistan,2015,111
Turkmenistan,2016,110
Turkmenistan,2017,109
Turkmenistan,2018,107
Turkmenistan,2019,105
