Country,Year,HIV/AIDS
Uganda,1990,78042
Uganda,1991,83383
Uganda,1992,87233
Uganda,1993,90146
Uganda,1994,92000
Uganda,1995,93253
Uganda,1996,93908
Uganda,1997,94410
Uganda,1998,94688
Uganda,1999,94661
Uganda,2000,94584
Uganda,2001,93581
Uganda,2002,91895
Uganda,2003,91026
Uganda,2004,90543
Uganda,2005,85305
Uganda,2006,78785
Uganda,2007,75831
Uganda,2008,71698
Uganda,2009,66946
Uganda,2010,61949
Uganda,2011,55713
Uganda,2012,48218
Uganda,2013,39401
Uganda,2014,32330
Uganda,2015,28885
Uganda,2016,27395
Uganda,2017,24154
Uganda,2018,21442
Uganda,2019,20762
