Country,Year,HIV/AIDS
Ukraine,1990,1481
Ukraine,1991,1593
Ukraine,1992,1831
Ukraine,1993,2190
Ukraine,1994,2557
Ukraine,1995,3232
Ukraine,1996,3753
Ukraine,1997,4173
Ukraine,1998,3909
Ukraine,1999,4787
Ukraine,2000,5602
Ukraine,2001,5504
Ukraine,2002,5047
Ukraine,2003,5438
Ukraine,2004,5752
Ukraine,2005,8863
Ukraine,2006,9063
Ukraine,2007,9409
Ukraine,2008,9902
Ukraine,2009,9232
Ukraine,2010,8990
Ukraine,2011,8824
Ukraine,2012,8640
Ukraine,2013,5730
Ukraine,2014,7223
Ukraine,2015,6926
Ukraine,2016,6971
Ukraine,2017,7030
Ukraine,2018,6849
Ukraine,2019,6643
